2	0	-4.8416537488647E-04	 0.0000000000000E+00
2	1	-1.8698764000000E-10	 1.1952801000000E-09
2	2	 2.4392607486563E-06	-1.4002663975880E-06
3	0	 9.5717059088800E-07	 0.0000000000000E+00
3	1	 2.0301372055530E-06	 2.4813079825561E-07
3	2	 9.0470634127291E-07	-6.1892284647849E-07
3	3	 7.2114493982309E-07	 1.4142039847354E-06
4	0	 5.3977706835730E-07	 0.0000000000000E+00
4	1	-5.3624355429851E-07	-4.7377237061597E-07
4	2	 3.5067015645938E-07	 6.6257134594268E-07
4	3	 9.9086890577441E-07	-2.0098735484731E-07
4	4	-1.8848136742527E-07	 3.0884803690355E-07
